"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\reservationTest.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 2, 13, 90
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\reviewTest.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 2, 13, 58
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\transactionTest.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 3, 9, 66
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\userTest.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 2, 15, 114
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\__tests__\vehicleTest.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 2, 13, 59
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\app.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 13, 22, 90
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\config\emailService.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 9, 4, 60
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\config\passport.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 8, 9, 58
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\authController.js", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 16, 19, 181
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\branchController.js", "JavaScript", 0, 0, 212, 0, 0, 0, 0, 21, 41, 274
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\issueController.js", "JavaScript", 0, 0, 107, 0, 0, 0, 0, 0, 20, 127
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\reservationController.js", "JavaScript", 0, 0, 185, 0, 0, 0, 0, 18, 22, 225
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\reviewController.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 8, 25, 106
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\transactionsController.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 4, 11, 82
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\userController.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 6, 20, 188
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\controllers\vehicleController.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 8, 29, 141
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\middlewares\branchValidation.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\middlewares\userValidation.js", "JavaScript", 0, 0, 190, 0, 0, 0, 0, 6, 4, 200
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\branchModel.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\issueModel.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\reservationModel.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\reviewModel.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 1, 10, 34
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\transactionModel.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\userModel.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\models\vehicleModel.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 1, 13, 79
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\mongodb\mongoConnection.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 10, 34
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\package-lock.json", "JSON", 4837, 0, 0, 0, 0, 0, 0, 0, 1, 4838
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\assets\index-1f4CyHxp.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 28, 1, 41
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\assets\index-4sK4E3Wk.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\assets\react-h3aPdYU7.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\index.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\dist\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\fetch.html", "HTML", 0, 116, 0, 0, 0, 0, 0, 1, 6, 123
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\index.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\public\stylesheets\style.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\authRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 5, 18
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\branchRoute.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 1, 15
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\index.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\issueRoute.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\reservationsRoute.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 6, 9, 30
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\reviewRoute.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 2, 14, 26
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\transactionsRoute.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\usersRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 6, 7, 25
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\routes\vehiclesRoute.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 14, 29
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\checkAddressValidity.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\getGeocodeFromAddress.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\reservationDataTest.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\reviewDataTest.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\transactionDataTest.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\userDataTest.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\backend\utils\vehicleDataTest.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\.eslintrc.cjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\package-lock.json", "JSON", 6107, 0, 0, 0, 0, 0, 0, 0, 1, 6108
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\AddBranch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 10, 14, 129
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\AddVehicle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 251, 0, 4, 21, 276
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Branches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 4, 91
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\BrowsingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 1, 15, 59
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\CheckInPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 1, 5, 78
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\CheckOutPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 2, 4, 39
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\ConfirmationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Customer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 394, 0, 1, 11, 406
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Customers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 6, 65
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 10, 5, 90
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\DashboardAnalysis.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 4, 94
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Issue.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 175, 0, 1, 8, 184
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Issues.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 4, 67
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\LocationMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 153, 0, 3, 9, 165
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\Pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 3, 16, 151
